Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
54997.1,82.40000000000146,0.9315041599477697,4.670746401286101,0.26081839899925857,0.02,0.02,0.02,5.07,10.10,12.89,
54997.2,82.5,0.9221713506718803,4.612720327893528,0.21972488726638098,0.03,0.07,0.00,4.39,10.44,14.56,
54997.3,82.60000000000582,0.925526876973327,4.478645799515788,0.23540874691095143,0.03,0.10,0.04,4.61,11.12,14.35,
54997.4,82.70000000000437,0.9200543462209175,4.607512041654456,0.2091724770881967,0.04,0.03,0.02,4.53,10.74,14.30,
54997.5,82.80000000000291,0.9343982020530648,4.570491925780526,0.22902213702455368,-0.01,0.08,0.05,5.92,10.95,13.73,
54997.6,82.90000000000146,0.9233092656309694,4.4674103172578254,0.22517678520307388,-0.03,0.04,0.04,4.90,9.24,14.73,
54997.7,83.0,0.925526876973327,4.478645799515788,0.23540874691095143,0.00,0.01,0.01,6.27,11.98,14.06,
54997.8,83.10000000000582,0.925526876973327,4.478645799515788,0.23540874691095143,0.02,0.13,-0.03,5.75,10.10,13.89,
54997.9,83.20000000000437,0.9211948762341223,4.455065265413601,0.21492696523492136,0.01,-0.00,0.00,6.15,10.05,13.56,
54998.0,83.30000000000291,0.9239047569960878,4.420932185906823,0.22797353523371858,-0.00,0.04,0.01,5.92,9.24,14.06,
54998.1,83.40000000000146,0.9233092656309694,4.4674103172578254,0.22517678520307388,0.02,0.02,0.01,7.46,10.43,13.23,
54998.2,83.5,0.9309672389509741,4.455065265413601,0.21263605474825442,0.00,0.08,0.01,6.54,9.30,13.33,
54998.3,83.60000000000582,0.9217917335276987,4.4065101089798375,0.21787319312302825,0.01,0.04,0.02,7.47,9.41,14.90,
54998.4,83.70000000000437,0.9120307012376283,4.4065101089798375,0.22024322066424118,-0.01,-0.02,0.00,6.48,10.67,14.28,
54998.5,83.80000000000291,0.9254188241007419,4.331882603272325,0.23492145529761102,-0.01,0.06,0.02,6.61,10.95,14.40,
54998.6,83.90000000000146,0.9339700209321496,4.270014757407944,0.2270471071325912,0.01,-0.01,-0.00,7.12,10.78,15.57,
54998.7,84.0,0.9217917335276987,4.4065101089798375,0.21787319312302825,-0.01,0.01,0.02,5.41,8.39,13.22,
54998.8,84.10000000000582,0.924608025057105,4.375714160997962,0.23122910381559944,-0.01,-0.01,0.01,6.95,8.90,14.40,
54998.9,84.20000000000437,0.9217917335276987,4.4065101089798375,0.21787319312302825,-0.02,0.02,0.01,7.64,10.13,15.47,
54999.0,84.30000000000291,0.9315578350268973,4.4065101089798375,0.21555284572736055,-0.01,-0.02,0.00,6.11,10.43,13.91,
54999.1,84.40000000000146,0.924608025057105,4.375714160997962,0.23122910381559944,-0.01,0.05,0.03,6.27,10.27,14.73,
54999.2,84.5,0.9217917335276987,4.4065101089798375,0.21787319312302825,-0.00,-0.03,0.00,6.29,8.88,14.75,
54999.3,84.60000000000582,0.9148770409186144,4.375714160997962,0.2337340778999495,-0.03,0.04,0.02,5.57,9.86,13.61,
54999.4,84.70000000000437,0.9343446901438462,4.375714160997962,0.2287763225206362,-0.00,0.01,0.00,6.27,9.24,14.40,
54999.5,84.80000000000291,0.924608025057105,4.375714160997962,0.23122910381559944,-0.02,0.05,0.01,7.46,10.12,13.90,
54999.6,84.90000000000146,0.9343446901438462,4.375714160997962,0.2287763225206362,-0.01,0.00,0.01,6.78,8.73,14.90,
54999.7,85.0,0.9171150418568,4.3906384259880475,0.24377215181364392,-0.01,0.04,0.01,7.00,10.53,14.35,
54999.8,85.10000000000582,0.9254188241007419,4.331882603272325,0.23492145529761102,-0.02,0.01,0.01,5.57,10.08,14.74,
54999.9,85.20000000000437,0.924608025057105,4.375714160997962,0.23122910381559944,-0.01,-0.01,0.01,8.15,9.75,14.56,
55000.0,85.30000000000291,0.924608025057105,4.375714160997962,0.23122910381559944,-0.01,-0.02,0.01,6.43,10.75,14.29,
55000.1,85.40000000000146,0.922496612459905,4.359398592557779,0.2212981211173006,-0.00,-0.01,0.00,8.98,10.91,13.76,
55000.2,85.5,0.9148770409186144,4.375714160997962,0.2337340778999495,0.00,0.01,0.00,7.26,9.34,14.42,
55000.3,85.60000000000582,0.924608025057105,4.375714160997962,0.23122910381559944,0.00,0.03,0.01,6.65,9.84,14.85,
55000.4,85.70000000000437,0.922496612459905,4.359398592557779,0.2212981211173006,-0.00,-0.01,0.01,6.27,10.61,15.74,
55000.5,85.80000000000291,0.9276313923105449,4.348410023875045,0.24468797591241473,-0.00,0.02,0.01,6.33,9.64,15.03,
55000.6,85.90000000000146,0.9254188241007419,4.331882603272325,0.23492145529761102,-0.01,0.02,0.01,7.19,9.64,14.01,
55000.7,86.0,0.9254188241007419,4.331882603272325,0.23492145529761102,-0.01,0.01,0.01,7.81,8.73,15.90,
55000.8,86.10000000000582,0.935147047260483,4.331882603272325,0.2324323618445432,-0.01,0.02,0.01,6.70,9.79,15.12,
55000.9,86.20000000000437,0.9336487562247379,4.420932185906823,0.2255528799782134,-0.02,0.01,0.01,7.47,10.78,14.90,
55001.0,86.30000000000291,1.0180864403379508,4.607512041654456,0.18877490795767102,-0.08,0.49,0.09,8.29,11.62,15.75,
55001.1,86.40000000000146,1.0337311062360464,4.023464592169828,0.21468640747690995,0.05,0.35,-0.01,10.10,10.13,16.01,
55001.2,86.5,1.238587905640936,4.990688639389801,0.11782744712015054,0.71,-0.40,-0.12,8.83,9.75,15.90,
55001.3,86.60000000000582,1.150651989091402,4.017650704187986,0.13617392729739133,1.20,-0.06,-0.18,9.00,7.66,15.33,
55001.4,86.70000000000437,1.0171037311896953,3.141592653589793,0.11825750913907943,1.53,-0.14,-0.19,7.17,5.40,16.34,
55001.5,86.80000000000291,0.8742425292789181,2.5636907166275478,0.319497715806789,1.41,-0.29,0.00,4.39,-0.51,15.23,
55001.6,86.90000000000146,0.6708203932499369,2.214297435588181,0.4636476090008061,1.15,-0.84,0.15,2.16,-2.74,13.06,
55001.7,87.0,0.666783323126786,1.6352231662204502,0.4846347651411411,0.26,-0.67,0.57,-0.40,-6.58,14.17,
55001.8,87.10000000000582,0.6047313453096342,1.1466019188911298,0.5973777069594409,-0.41,-0.21,0.51,-5.02,-6.50,13.73,
55001.9,87.20000000000437,0.7617086057016818,0.8110335719191257,0.37058683172506524,-0.59,-0.38,0.32,-4.51,-4.62,14.90,
55002.0,87.30000000000291,0.9170059977993601,0.5947592574833527,0.4641231203074168,-0.21,-0.16,-0.02,-5.36,-3.99,15.74,
55002.1,87.40000000000146,1.197914855071094,1.2490457723982544,0.407126956016228,-0.14,0.83,0.01,-6.27,-3.80,17.20,
55002.2,87.5,0.840119039184329,0.9440534255838497,0.4402768525504168,0.36,-0.23,0.03,-2.97,-4.28,16.20,
55002.3,87.60000000000582,0.8923564310296643,0.9753864513161641,0.43300478569924944,-0.09,2.21,-0.29,-4.34,-5.82,15.07,
55002.4,87.70000000000437,1.0703737664946764,1.7873466317709858,0.4987149860825937,-0.01,3.16,-0.48,3.19,-6.50,18.75,
55002.5,87.80000000000291,1.0280077820717117,2.1939956567289625,0.8736682230581776,1.47,4.53,-0.69,14.18,-7.28,22.87,
55002.6,87.90000000000146,1.0269371937952194,2.6607053733944577,0.8600158078938478,1.03,0.70,-0.60,27.16,-9.63,33.85,
55002.7,88.0,0.9648315915225827,2.62244653934327,0.9892476814146127,-0.09,-0.05,0.33,26.91,-9.70,33.56,
55002.8,88.10000000000582,0.96591925128346,2.5990133294638027,0.9650135042089172,-0.04,-0.21,0.11,26.71,-11.03,34.25,
55002.9,88.20000000000437,0.9990495483208027,2.62244653934327,0.9390421176598278,-0.06,-0.12,0.02,27.14,-11.63,34.17,
55003.0,88.30000000000291,0.9661262857411551,2.587285157388242,0.8740339408215569,-0.45,-0.67,0.27,25.13,-11.96,32.87,
55003.1,88.40000000000146,0.9823950325607311,2.5342874284235424,0.8202933369523879,-0.71,-1.16,0.39,24.19,-10.43,29.68,
55003.2,88.5,0.9434511116109832,2.563068439172088,0.6691417028781609,-0.75,-1.14,0.32,21.67,-9.24,27.13,
55003.3,88.60000000000582,1.043982758478319,2.536047989984823,0.4716511071738081,-0.18,-1.86,0.25,17.51,-7.71,24.50,
