Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.076190,,0.429252,,,,,,,,,-0.305440,,,,,,,,,0.373114,,,,,,,,,0.851263,,,,,,,,,0.029171,,,,,,,,,-2.048085,,,,,,,,,0.000000,,,,,,,,,1.171889,,,,,,,,,-0.078437,,,,,,,,
0.085714,,0.206373,,,,,,,,,0.008137,,,,,,,,,0.218587,,,,,,,,,0.813994,,,,,,,,,0.336398,,,,,,,,,-1.828887,,,,,,,,,0.000000,,,,,,,,,1.091931,,,,,,,,,0.281642,,,,,,,,
0.095238,,-0.002763,,,,,,,,,0.268874,,,,,,,,,0.091703,,,,,,,,,0.809024,,,,,,,,,0.856069,,,,,,,,,-1.576419,,,,,,,,,0.000000,,,,,,,,,1.055618,,,,,,,,,0.604310,,,,,,,,
0.104762,,-0.340409,,,,,,,,,0.444608,,,,,,,,,0.010902,,,,,,,,,0.694732,,,,,,,,,1.156759,,,,,,,,,-1.337650,,,,,,,,,0.000000,,,,,,,,,1.048888,,,,,,,,,0.850237,,,,,,,,
0.114286,,-0.576973,,,,,,,,,0.584476,,,,,,,,,-0.016524,,,,,,,,,0.595346,,,,,,,,,0.957388,,,,,,,,,-1.012767,,,,,,,,,0.000000,,,,,,,,,1.055466,,,,,,,,,0.971392,,,,,,,,
0.123810,,-0.773940,,,,,,,,,0.692634,,,,,,,,,-0.010987,,,,,,,,,0.488507,,,,,,,,,0.986804,,,,,,,,,-0.687885,,,,,,,,,0.000000,,,,,,,,,1.061561,,,,,,,,,1.037524,,,,,,,,
0.133333,,-0.984932,,,,,,,,,0.747089,,,,,,,,,0.003155,,,,,,,,,0.339430,,,,,,,,,0.872411,,,,,,,,,-0.390402,,,,,,,,,0.000000,,,,,,,,,1.066830,,,,,,,,,1.052855,,,,,,,,
0.142857,,-1.124929,,,,,,,,,0.776624,,,,,,,,,0.053801,,,,,,,,,0.361791,,,,,,,,,0.532500,,,,,,,,,-0.073348,,,,,,,,,0.000000,,,,,,,,,1.068627,,,,,,,,,1.063311,,,,,,,,
0.152381,,-1.139976,,,,,,,,,0.772634,,,,,,,,,0.065705,,,,,,,,,0.555592,,,,,,,,,-0.046001,,,,,,,,,0.288719,,,,,,,,,0.000000,,,,,,,,,1.065104,,,,,,,,,1.086137,,,,,,,,
0.161905,,-1.125565,,,,,,,,,0.782445,,,,,,,,,0.030327,,,,,,,,,0.938225,,,,,,,,,-0.660455,,,,,,,,,0.511831,,,,,,,,,0.000000,,,,,,,,,0.826138,,,,,,,,,1.148837,,,,,,,,
0.171429,,-0.974440,,,,,,,,,0.824891,,,,,,,,,-0.094234,,,,,,,,,1.318373,,,,,,,,,-1.278176,,,,,,,,,0.815185,,,,,,,,,0.000000,,,,,,,,,0.562233,,,,,,,,,1.169773,,,,,,,,
0.180952,,-0.620602,,,,,,,,,0.914809,,,,,,,,,-0.296906,,,,,,,,,1.743245,,,,,,,,,-1.676917,,,,,,,,,1.126368,,,,,,,,,0.000000,,,,,,,,,0.294584,,,,,,,,,1.181547,,,,,,,,
0.190476,,-0.244006,,,,,,,,,1.005359,,,,,,,,,-0.572143,,,,,,,,,1.961892,,,,,,,,,-1.699796,,,,,,,,,1.290766,,,,,,,,,0.000000,,,,,,,,,0.027125,,,,,,,,,1.170537,,,,,,,,
0.200000,,0.190705,,,,,,,,,1.083012,,,,,,,,,-0.895763,,,,,,,,,2.073700,,,,,,,,,-2.000486,,,,,,,,,1.371008,,,,,,,,,0.000000,,,,,,,,,-0.236837,,,,,,,,,1.105921,,,,,,,,
0.216667,,0.739686,,,,,,,,,1.151961,,,,,,,,,-1.219247,,,,,,,,,2.081154,,,,,,,,,-2.281566,,,,,,,,,1.339694,,,,,,,,,0.000000,,,,,,,,,-0.496441,,,,,,,,,1.005520,,,,,,,,
0.233333,,1.277526,,,,,,,,,1.181831,,,,,,,,,-1.556709,,,,,,,,,1.892322,,,,,,,,,-2.209662,,,,,,,,,1.230095,,,,,,,,,0.000000,,,,,,,,,-0.754192,,,,,,,,,0.869995,,,,,,,,
0.250000,,1.716845,,,,,,,,,1.197385,,,,,,,,,-1.841888,,,,,,,,,1.584228,,,,,,,,,-1.827262,,,,,,,,,1.010898,,,,,,,,,0.000000,,,,,,,,,-1.006670,,,,,,,,,0.673251,,,,,,,,
0.266667,,2.099946,,,,,,,,,1.180036,,,,,,,,,-2.072632,,,,,,,,,1.174265,,,,,,,,,-1.261834,,,,,,,,,0.713415,,,,,,,,,0.000000,,,,,,,,,-1.024162,,,,,,,,,0.415761,,,,,,,,
0.283333,,2.315295,,,,,,,,,1.167446,,,,,,,,,-2.229913,,,,,,,,,0.679824,,,,,,,,,-0.706212,,,,,,,,,0.361133,,,,,,,,,0.000000,,,,,,,,,-1.020078,,,,,,,,,0.249157,,,,,,,,
0.300000,,2.402865,,,,,,,,,1.174911,,,,,,,,,-2.309871,,,,,,,,,0.083513,,,,,,,,,-0.294397,,,,,,,,,0.020594,,,,,,,,,0.000000,,,,,,,,,-1.013529,,,,,,,,,0.139378,,,,,,,,
0.316667,,2.377111,,,,,,,,,1.183839,,,,,,,,,-2.278449,,,,,,,,,-0.510313,,,,,,,,,-0.095027,,,,,,,,,-0.276889,,,,,,,,,0.000000,,,,,,,,,-1.011801,,,,,,,,,0.130109,,,,,,,,
0.333333,,2.211526,,,,,,,,,1.196496,,,,,,,,,-2.166771,,,,,,,,,-1.056931,,,,,,,,,0.290641,,,,,,,,,-0.523487,,,,,,,,,0.000000,,,,,,,,,-1.010105,,,,,,,,,0.222935,,,,,,,,
0.350000,,1.933783,,,,,,,,,1.193890,,,,,,,,,-2.020604,,,,,,,,,-1.541433,,,,,,,,,0.836459,,,,,,,,,-0.717242,,,,,,,,,0.000000,,,,,,,,,-1.014398,,,,,,,,,0.406900,,,,,,,,
0.366667,,1.546309,,,,,,,,,1.155395,,,,,,,,,-1.787649,,,,,,,,,-1.891766,,,,,,,,,1.526085,,,,,,,,,-0.883597,,,,,,,,,0.000000,,,,,,,,,-1.018955,,,,,,,,,0.634887,,,,,,,,
0.383333,,1.130078,,,,,,,,,1.118809,,,,,,,,,-1.510532,,,,,,,,,-2.100475,,,,,,,,,1.980388,,,,,,,,,-0.985367,,,,,,,,,0.000000,,,,,,,,,-0.767634,,,,,,,,,0.861757,,,,,,,,
0.400000,,0.685407,,,,,,,,,1.057051,,,,,,,,,-1.185524,,,,,,,,,-2.160106,,,,,,,,,2.225516,,,,,,,,,-1.026467,,,,,,,,,0.000000,,,,,,,,,-0.516140,,,,,,,,,1.030227,,,,,,,,
0.414286,,0.207433,,,,,,,,,0.968706,,,,,,,,,-0.854370,,,,,,,,,-2.065690,,,,,,,,,2.143806,,,,,,,,,-0.995153,,,,,,,,,0.000000,,,,,,,,,-0.257759,,,,,,,,,1.110362,,,,,,,,
0.428571,,-0.184759,,,,,,,,,0.860913,,,,,,,,,-0.495838,,,,,,,,,-1.720327,,,,,,,,,2.166685,,,,,,,,,-0.918825,,,,,,,,,0.000000,,,,,,,,,0.003994,,,,,,,,,1.149104,,,,,,,,
