Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.792453,,-0.016764,,,,,,,,,,0.028945,,,,,,,,,,-0.016100,,,,,,,,,,-0.029404,,,,,,,,,,-0.077240,,,,,,,,,,0.050415,,,,,,,,,,0.000000,,,,,,,,,,0.024245,,,,,,,,,,0.033529,,,,,,,,,
0.811321,,-0.002028,,,,,,,,,,0.024652,,,,,,,,,,-0.012406,,,,,,,,,,-0.038516,,,,,,,,,,-0.060580,,,,,,,,,,0.057519,,,,,,,,,,0.000000,,,,,,,,,,0.023973,,,,,,,,,,0.030124,,,,,,,,,
0.830189,,0.010006,,,,,,,,,,0.018791,,,,,,,,,,-0.008111,,,,,,,,,,-0.045379,,,,,,,,,,-0.036016,,,,,,,,,,0.059866,,,,,,,,,,0.000000,,,,,,,,,,0.024363,,,,,,,,,,0.023972,,,,,,,,,
0.849057,,0.019285,,,,,,,,,,0.011715,,,,,,,,,,-0.003400,,,,,,,,,,-0.048191,,,,,,,,,,-0.014016,,,,,,,,,,0.057910,,,,,,,,,,0.000000,,,,,,,,,,0.025550,,,,,,,,,,0.015666,,,,,,,,,
0.867925,,0.024603,,,,,,,,,,0.002460,,,,,,,,,,0.002040,,,,,,,,,,-0.053479,,,,,,,,,,0.007557,,,,,,,,,,0.056672,,,,,,,,,,0.000000,,,,,,,,,,0.015690,,,,,,,,,,0.005618,,,,,,,,,
0.886792,,0.027729,,,,,,,,,,-0.006480,,,,,,,,,,0.008858,,,,,,,,,,-0.053141,,,,,,,,,,0.014606,,,,,,,,,,0.050676,,,,,,,,,,0.000000,,,,,,,,,,0.005790,,,,,,,,,,-0.005008,,,,,,,,,
0.905660,,0.029450,,,,,,,,,,-0.015050,,,,,,,,,,0.014829,,,,,,,,,,-0.044704,,,,,,,,,,0.017703,,,,,,,,,,0.041878,,,,,,,,,,0.000000,,,,,,,,,,-0.003785,,,,,,,,,,-0.015036,,,,,,,,,
0.924528,,0.030244,,,,,,,,,,-0.021888,,,,,,,,,,0.019483,,,,,,,,,,-0.033341,,,,,,,,,,0.016315,,,,,,,,,,0.031710,,,,,,,,,,0.000000,,,,,,,,,,-0.013082,,,,,,,,,,-0.023386,,,,,,,,,
0.943396,,0.027889,,,,,,,,,,-0.027353,,,,,,,,,,0.022415,,,,,,,,,,-0.023666,,,,,,,,,,0.014499,,,,,,,,,,0.022456,,,,,,,,,,0.000000,,,,,,,,,,-0.022760,,,,,,,,,,-0.029824,,,,,,,,,
0.962264,,0.025292,,,,,,,,,,-0.030858,,,,,,,,,,0.023937,,,,,,,,,,-0.013316,,,,,,,,,,0.006703,,,,,,,,,,0.013396,,,,,,,,,,0.000000,,,,,,,,,,-0.032344,,,,,,,,,,-0.033702,,,,,,,,,
0.981132,,0.023782,,,,,,,,,,-0.033036,,,,,,,,,,0.023626,,,,,,,,,,-0.006566,,,,,,,,,,-0.000453,,,,,,,,,,0.006488,,,,,,,,,,0.000000,,,,,,,,,,-0.042466,,,,,,,,,,-0.035008,,,,,,,,,
1.000000,,0.021965,,,,,,,,,,-0.034374,,,,,,,,,,0.023938,,,,,,,,,,-0.003191,,,,,,,,,,-0.000346,,,,,,,,,,0.002056,,,,,,,,,,0.000000,,,,,,,,,,-0.053443,,,,,,,,,,-0.035001,,,,,,,,,
0.000000,,,0.020908,,,,,,,,,,-0.033891,,,,,,,,,,0.023734,,,,,,,,,,0.001421,,,,,,,,,,-0.003763,,,,,,,,,,-0.004266,,,,,,,,,,0.000000,,,,,,,,,,-0.053277,,,,,,,,,,-0.034613,,,,,,,,
0.015152,,,0.023461,,,,,,,,,,-0.033697,,,,,,,,,,0.024354,,,,,,,,,,0.002884,,,,,,,,,,-0.009317,,,,,,,,,,-0.010392,,,,,,,,,,0.000000,,,,,,,,,,-0.041878,,,,,,,,,,-0.034571,,,,,,,,
0.030303,,,0.026309,,,,,,,,,,-0.032717,,,,,,,,,,0.024298,,,,,,,,,,0.002321,,,,,,,,,,-0.018074,,,,,,,,,,-0.019712,,,,,,,,,,0.000000,,,,,,,,,,-0.031302,,,,,,,,,,-0.033999,,,,,,,,
0.045455,,,0.029804,,,,,,,,,,-0.031417,,,,,,,,,,0.023422,,,,,,,,,,0.002771,,,,,,,,,,-0.022239,,,,,,,,,,-0.030726,,,,,,,,,,0.000000,,,,,,,,,,-0.021396,,,,,,,,,,-0.031875,,,,,,,,
0.060606,,,0.031182,,,,,,,,,,-0.028742,,,,,,,,,,0.021905,,,,,,,,,,0.007721,,,,,,,,,,-0.021599,,,,,,,,,,-0.042523,,,,,,,,,,0.000000,,,,,,,,,,-0.011888,,,,,,,,,,-0.026561,,,,,,,,
0.075758,,,0.031649,,,,,,,,,,-0.024642,,,,,,,,,,0.019161,,,,,,,,,,0.014809,,,,,,,,,,-0.017861,,,,,,,,,,-0.052755,,,,,,,,,,0.000000,,,,,,,,,,-0.002462,,,,,,,,,,-0.020024,,,,,,,,
0.090909,,,0.030868,,,,,,,,,,-0.018529,,,,,,,,,,0.015672,,,,,,,,,,0.024146,,,,,,,,,,-0.010171,,,,,,,,,,-0.060381,,,,,,,,,,0.000000,,,,,,,,,,0.007133,,,,,,,,,,-0.011846,,,,,,,,
0.106061,,,0.027553,,,,,,,,,,-0.011288,,,,,,,,,,0.010690,,,,,,,,,,0.032359,,,,,,,,,,-0.003443,,,,,,,,,,-0.066768,,,,,,,,,,0.000000,,,,,,,,,,0.016828,,,,,,,,,,-0.003017,,,,,,,,
0.121212,,,0.020978,,,,,,,,,,-0.002641,,,,,,,,,,0.005120,,,,,,,,,,0.035959,,,,,,,,,,0.002858,,,,,,,,,,-0.068853,,,,,,,,,,0.000000,,,,,,,,,,0.026436,,,,,,,,,,0.007152,,,,,,,,
