Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
53211.1,79.40000000000146,0.9030503861911582,0.668289418830584,0.27138185182462254,-0.02,0.08,0.01,7.29,-44.87,-25.73,
53211.2,79.5,0.9123595782365636,0.7266423406817256,0.2671317231503251,0.00,0.04,-0.00,5.93,-45.55,-24.73,
53211.3,79.60000000000582,0.9261209424259879,0.6747409422235526,0.28020922494357897,0.01,0.02,-0.00,6.72,-45.58,-25.10,
53211.4,79.70000000000437,0.899388681271896,0.6610431688506869,0.25634277513055875,0.01,0.01,0.02,7.13,-45.72,-24.56,
53211.5,79.80000000000291,0.9096153033013462,0.6000502134017536,0.25587604152468363,0.01,-0.08,0.00,6.10,-45.72,-25.23,
53211.6,79.90000000000146,0.9509994742374993,0.7266423406817256,0.2560288188002999,0.09,-0.05,0.02,6.78,-46.06,-24.90,
53211.7,80.0,0.8374962686484043,0.6578886051822102,0.3383977503278684,-0.01,-0.04,-0.06,6.10,-44.01,-24.56,
53211.8,80.10000000000582,0.9601041610158765,0.5779019369622456,0.2900507422027549,-0.12,-0.01,-0.20,7.24,-46.03,-24.71,
53211.9,80.20000000000437,0.895488693395958,0.7853981633974483,0.2391631559035454,0.06,-0.01,-0.05,7.42,-45.03,-24.46,
53212.0,80.30000000000291,0.8987769467448528,0.6640461628266846,0.3309636449134001,-0.01,-0.19,-0.02,7.98,-44.86,-25.40,
53212.1,80.40000000000146,0.9194019795497506,0.5984188934785372,0.29382222779361206,-0.02,0.06,-0.11,6.61,-44.86,-24.73,
53212.2,80.5,0.9115371632577577,0.628796286415433,0.3030465528643672,-0.03,-0.10,-0.04,7.47,-46.06,-24.90,
53212.3,80.60000000000582,0.9339164844888435,0.5585993153435624,0.30788709157199157,-0.05,-0.01,-0.05,8.15,-46.06,-26.24,
53212.4,80.70000000000437,0.9266606714434362,0.6202494859828215,0.28222607794361154,-0.00,0.01,-0.02,8.33,-45.16,-25.35,
53212.5,80.80000000000291,0.9140021881811882,0.6078019961139605,0.311556223636178,0.03,0.02,0.02,8.49,-45.38,-25.57,
53212.6,80.90000000000146,0.9220086767487604,0.5516549825285469,0.33748021426545083,-0.04,-0.08,0.02,7.64,-44.52,-25.74,
53212.7,81.0,0.8971621926942753,0.5337081916392615,0.2888290070606978,-0.18,-0.23,-0.09,7.24,-44.68,-25.24,
53212.8,81.10000000000582,0.9381897462667134,0.5693131911006619,0.32190200454017487,-0.12,0.02,-0.07,6.78,-44.35,-26.24,
53212.9,81.20000000000437,0.9202716990106781,0.5467888408892474,0.29692964122012794,-0.03,0.04,-0.00,7.76,-42.35,-26.96,
53213.0,81.30000000000291,0.9325770745627409,0.43467021514924475,0.3373903525251546,-0.06,-0.02,0.00,7.81,-44.01,-27.24,
53213.1,81.40000000000146,0.9349331526906082,0.43240777557053783,0.3112884844426463,-0.16,-0.01,-0.06,7.47,-44.01,-27.24,
53213.2,81.5,0.9187491496594705,0.4939413689195813,0.32721960907169734,-0.19,0.04,-0.16,7.92,-42.14,-27.48,
53213.3,81.60000000000582,0.9764220398987314,0.5144513130590277,0.27399185930112313,-0.28,0.16,-0.17,8.67,-43.15,-27.75,
53213.4,81.70000000000437,0.9339700209321496,0.4423742229767449,0.2270471071325912,-0.73,-0.04,-0.49,9.59,-40.89,-29.16,
53213.5,81.80000000000291,0.9757561170702441,6.168308701762687,0.27155308567947933,-1.10,-0.23,-0.45,9.18,-36.48,-32.27,
53213.6,81.90000000000146,0.9298386956886662,5.736396466290339,0.2937830086188943,-1.23,0.11,-0.41,10.03,-33.57,-35.12,
