Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,
0.882353,,0.014436,,,,,,,,,,,0.003970,,,,,,,,,,,0.011921,,,,,,,,,,,-0.044864,,,,,,,,,,,0.053097,,,,,,,,,,,-0.028346,,,,,,,,,,,0.000000,,,,,,,,,,,0.004681,,,,,,,,,,,-0.016272,,,,,,,,,,
0.921569,,0.006369,,,,,,,,,,,-0.003892,,,,,,,,,,,0.007065,,,,,,,,,,,-0.035415,,,,,,,,,,,0.041771,,,,,,,,,,,-0.023050,,,,,,,,,,,0.000000,,,,,,,,,,,-0.006042,,,,,,,,,,,-0.005884,,,,,,,,,,
0.941176,,0.002429,,,,,,,,,,,-0.008240,,,,,,,,,,,0.005892,,,,,,,,,,,-0.026063,,,,,,,,,,,0.029162,,,,,,,,,,,-0.017131,,,,,,,,,,,0.000000,,,,,,,,,,,-0.006033,,,,,,,,,,,-0.004065,,,,,,,,,,
0.960784,,-0.006014,,,,,,,,,,,-0.015865,,,,,,,,,,,0.001623,,,,,,,,,,,-0.016518,,,,,,,,,,,0.016126,,,,,,,,,,,-0.011212,,,,,,,,,,,0.000000,,,,,,,,,,,-0.016780,,,,,,,,,,,0.006375,,,,,,,,,,
0.980392,,-0.012735,,,,,,,,,,,-0.023333,,,,,,,,,,,-0.002408,,,,,,,,,,,-0.006781,,,,,,,,,,,0.002022,,,,,,,,,,,-0.004670,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027550,,,,,,,,,,,0.016008,,,,,,,,,,
1.000000,,-0.020128,,,,,,,,,,,-0.030197,,,,,,,,,,,-0.000500,,,,,,,,,,,-0.004623,,,,,,,,,,,0.004586,,,,,,,,,,,-0.004826,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027521,,,,,,,,,,,0.016095,,,,,,,,,,
0.000000,,,-0.021711,,,,,,,,,,,-0.030154,,,,,,,,,,,-0.003747,,,,,,,,,,,-0.001189,,,,,,,,,,,-0.003534,,,,,,,,,,,0.004676,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027405,,,,,,,,,,,0.022502,,,,,,,,,
0.020833,,,-0.020251,,,,,,,,,,,-0.029787,,,,,,,,,,,0.006300,,,,,,,,,,,0.006621,,,,,,,,,,,-0.012082,,,,,,,,,,,0.018694,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027430,,,,,,,,,,,0.020870,,,,,,,,,
0.041667,,,-0.019373,,,,,,,,,,,-0.029517,,,,,,,,,,,0.015683,,,,,,,,,,,0.018190,,,,,,,,,,,-0.029178,,,,,,,,,,,0.036140,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027443,,,,,,,,,,,0.020624,,,,,,,,,
0.062500,,,-0.017689,,,,,,,,,,,-0.027550,,,,,,,,,,,0.029675,,,,,,,,,,,0.021661,,,,,,,,,,,-0.036444,,,,,,,,,,,0.042682,,,,,,,,,,,0.000000,,,,,,,,,,,-0.027720,,,,,,,,,,,0.011981,,,,,,,,,
0.104167,,,-0.014306,,,,,,,,,,,-0.024305,,,,,,,,,,,0.045836,,,,,,,,,,,0.025517,,,,,,,,,,,-0.043283,,,,,,,,,,,0.049224,,,,,,,,,,,0.000000,,,,,,,,,,,-0.016792,,,,,,,,,,,-0.002583,,,,,,,,,
0.125000,,,-0.013798,,,,,,,,,,,-0.023967,,,,,,,,,,,0.054851,,,,,,,,,,,0.031206,,,,,,,,,,,-0.048198,,,,,,,,,,,0.058259,,,,,,,,,,,0.000000,,,,,,,,,,,-0.016808,,,,,,,,,,,-0.002008,,,,,,,,,
0.145833,,,-0.013289,,,,,,,,,,,-0.023360,,,,,,,,,,,0.065755,,,,,,,,,,,0.037376,,,,,,,,,,,-0.053327,,,,,,,,,,,0.068228,,,,,,,,,,,0.000000,,,,,,,,,,,-0.016830,,,,,,,,,,,-0.003361,,,,,,,,,
0.166667,,,-0.008982,,,,,,,,,,,-0.017933,,,,,,,,,,,0.080215,,,,,,,,,,,0.041136,,,,,,,,,,,-0.061447,,,,,,,,,,,0.073835,,,,,,,,,,,0.000000,,,,,,,,,,,-0.006346,,,,,,,,,,,-0.015211,,,,,,,,,
0.187500,,,-0.007195,,,,,,,,,,,-0.015818,,,,,,,,,,,0.102975,,,,,,,,,,,0.054381,,,,,,,,,,,-0.075712,,,,,,,,,,,0.096110,,,,,,,,,,,0.000000,,,,,,,,,,,-0.003744,,,,,,,,,,,-0.022136,,,,,,,,,
0.208333,,,-0.001280,,,,,,,,,,,-0.006513,,,,,,,,,,,0.103636,,,,,,,,,,,0.055695,,,,,,,,,,,-0.074483,,,,,,,,,,,0.099069,,,,,,,,,,,0.000000,,,,,,,,,,,0.014506,,,,,,,,,,,-0.031552,,,,,,,,,
0.229167,,,0.006608,,,,,,,,,,,0.003923,,,,,,,,,,,0.085562,,,,,,,,,,,0.046150,,,,,,,,,,,-0.063157,,,,,,,,,,,0.067293,,,,,,,,,,,0.000000,,,,,,,,,,,0.024952,,,,,,,,,,,-0.036917,,,,,,,,,
0.250000,,,0.014074,,,,,,,,,,,0.012998,,,,,,,,,,,0.063132,,,,,,,,,,,0.044318,,,,,,,,,,,-0.060806,,,,,,,,,,,0.050782,,,,,,,,,,,0.000000,,,,,,,,,,,0.035652,,,,,,,,,,,-0.033315,,,,,,,,,
0.270833,,,0.020293,,,,,,,,,,,0.020897,,,,,,,,,,,0.039476,,,,,,,,,,,0.041908,,,,,,,,,,,-0.058669,,,,,,,,,,,0.034894,,,,,,,,,,,0.000000,,,,,,,,,,,0.035162,,,,,,,,,,,-0.026577,,,,,,,,,
0.312500,,,0.028570,,,,,,,,,,,0.031814,,,,,,,,,,,0.021845,,,,,,,,,,,0.036123,,,,,,,,,,,-0.052258,,,,,,,,,,,0.026483,,,,,,,,,,,0.000000,,,,,,,,,,,0.045608,,,,,,,,,,,-0.030970,,,,,,,,,
0.333333,,,0.036966,,,,,,,,,,,0.042474,,,,,,,,,,,0.003491,,,,,,,,,,,0.031013,,,,,,,,,,,-0.052258,,,,,,,,,,,0.007168,,,,,,,,,,,0.000000,,,,,,,,,,,0.056042,,,,,,,,,,,-0.035058,,,,,,,,,
0.354167,,,0.041924,,,,,,,,,,,0.048070,,,,,,,,,,,-0.017369,,,,,,,,,,,0.028313,,,,,,,,,,,-0.050762,,,,,,,,,,,-0.007786,,,,,,,,,,,0.000000,,,,,,,,,,,0.055970,,,,,,,,,,,-0.031147,,,,,,,,,
0.375000,,,0.050206,,,,,,,,,,,0.058002,,,,,,,,,,,-0.035861,,,,,,,,,,,0.021468,,,,,,,,,,,-0.050976,,,,,,,,,,,-0.027412,,,,,,,,,,,0.000000,,,,,,,,,,,0.066444,,,,,,,,,,,-0.035534,,,,,,,,,
0.395833,,,0.058981,,,,,,,,,,,0.068187,,,,,,,,,,,-0.072825,,,,,,,,,,,0.009802,,,,,,,,,,,-0.045901,,,,,,,,,,,-0.080177,,,,,,,,,,,0.000000,,,,,,,,,,,0.066493,,,,,,,,,,,-0.031679,,,,,,,,,
0.416667,,,0.060125,,,,,,,,,,,0.068377,,,,,,,,,,,-0.071796,,,,,,,,,,,0.011056,,,,,,,,,,,-0.046916,,,,,,,,,,,-0.088472,,,,,,,,,,,0.000000,,,,,,,,,,,0.066453,,,,,,,,,,,-0.031165,,,,,,,,,
0.437500,,,0.062537,,,,,,,,,,,0.068310,,,,,,,,,,,-0.063988,,,,,,,,,,,0.007681,,,,,,,,,,,-0.058883,,,,,,,,,,,-0.073207,,,,,,,,,,,0.000000,,,,,,,,,,,0.066488,,,,,,,,,,,-0.033047,,,,,,,,,
0.458333,,,0.064806,,,,,,,,,,,0.068123,,,,,,,,,,,-0.053975,,,,,,,,,,,0.007392,,,,,,,,,,,-0.053540,,,,,,,,,,,-0.054827,,,,,,,,,,,0.000000,,,,,,,,,,,0.066517,,,,,,,,,,,-0.037657,,,,,,,,,
0.479167,,,0.068114,,,,,,,,,,,0.067586,,,,,,,,,,,-0.053780,,,,,,,,,,,0.008356,,,,,,,,,,,-0.028965,,,,,,,,,,,-0.040185,,,,,,,,,,,0.000000,,,,,,,,,,,0.066507,,,,,,,,,,,-0.043771,,,,,,,,,
