time,mx,my,mz
12.839234,28.595375,-2.718704,-24.474434
12.862927,28.495171,-2.617798,-24.376335
12.889158,28.511871,-2.298264,-24.556168
12.91664,28.511871,-1.861008,-24.621567
12.940558,28.578674,-1.625561,-24.817741
12.968011,28.127769,-1.642376,-24.53981
12.992436,27.676865,-1.457382,-24.817741
13.018965,27.192554,-1.373299,-25.226456
13.046018,26.691547,-1.137852,-25.684219
13.072152,25.806435,-0.751053,-26.256424
13.096141,25.105026,-0.751053,-26.746895
13.121647,24.336819,-0.683781,-27.400833
13.150011,23.034199,-0.481972,-28.283661
13.173914,21.631378,-0.650146,-29.133797
13.199352,20.178463,-0.936039,-29.967575
13.226464,18.324734,-0.784683,-31.291817
13.252149,16.220505,-0.88559,-32.109245
13.277177,14.567177,-1.171482,-32.714142
13.305799,12.329346,-0.734226,-33.237297
13.330339,10.492325,-0.364243,-33.793159
13.355028,8.688698,-0.229706,-33.858551
13.383224,7.068771,0.257999,-34.201874
13.408046,5.649246,0.678436,-34.283615
13.432652,5.181641,0.57753,-34.316315
13.459043,4.48024,0.510262,-34.414413
13.485043,4.547035,0.745705,-34.414413
13.510383,4.881042,0.779339,-34.152824
13.538421,5.131554,0.829792,-34.005684
13.562493,5.348648,0.611164,-34.054733
13.588289,5.916451,0.510262,-33.956635
13.616464,6.016655,0.20755,-33.891243
13.640106,6.016655,0.005745,-33.956635
13.665851,6.200356,-0.212883,-33.907585
13.693647,6.267159,-0.078346,-33.842194
13.718329,6.267159,-0.044712,-33.940292
13.743474,6.584465,0.039371,-33.891243
13.772308,6.851662,0.005737,-33.989326
13.795149,6.951866,-0.027893,-34.087418
13.820776,7.168968,-0.145615,-34.267258
13.85278,7.252464,-0.095165,-34.185501
13.872562,7.152267,-0.330608,-34.2836
13.898798,7.419472,-0.364243,-34.316292
13.926302,7.536369,-0.212887,-34.169159
13.950223,7.519676,-0.29697,-33.956619
13.977055,7.78688,-0.498779,-33.564255
14.003753,8.137589,-0.650139,-33.678696
14.027425,8.33799,-1.053757,-33.580597
14.053639,8.638596,-1.558281,-33.645988
14.081903,8.972595,-1.591915,-33.547897
14.104524,9.390099,-1.776905,-33.92392
14.130786,9.907806,-1.860992,-33.580597
14.157908,10.458916,-1.911438,-33.760429
14.183274,11.177025,-1.995529,-33.515205
14.208082,12.078835,-2.230972,-33.384415
14.234136,13.297951,-2.180523,-33.041092
14.261808,14.450272,-2.365513,-32.599678
14.286915,16.103592,-2.281425,-31.863983
14.31566,17.773617,-2.113251,-31.210037
14.33901,19.376839,-2.113251,-30.588791
14.364117,20.779659,-2.281425,-29.509773
14.390163,22.449684,-1.978714,-28.986618
14.416539,24.019508,-1.911446,-27.809517
14.441485,25.505829,-2.163708,-26.616074
14.467824,26.791748,-2.281425,-25.716904
