time,aax,aay,aaz,ggx,ggy,ggz,mmx,mmy,mmz,
16.8,2.927764,-4.147654,-8.565413,-0.030444,-0.045661,0.003385,26.775032,-2.567326,-26.15834,
16.9,4.187908,-5.02097,-7.446682,-0.076075,-0.082522,0.048886,28.545258,-2.802776,-24.458076,
17.0,5.428448,-5.158192,-6.006219,-0.192555,-0.411629,0.092777,28.278046,-2.533699,-24.229195,
17.1,11.237138,-9.836929,-10.056305,-1.061791,-0.26221,0.192132,28.578651,-2.432793,-24.065689,
17.2,8.304136,-4.275449,-5.354524,-1.572449,0.23611,0.402914,28.561951,-2.584152,-24.670586,
17.3,7.203363,-3.936807,-4.942108,-1.9886,0.130409,0.528037,28.862553,-2.550522,-24.801384,
17.4,6.856041,-4.286223,-5.164777,-1.300236,-1.522205,-0.203007,28.14444,-1.861012,-24.785027,
17.5,6.992665,-4.276346,-5.491298,-0.678427,-0.46557,0.182599,27.159126,-1.306034,-25.095657,
17.6,6.883426,-4.078668,-5.866752,0.292426,0.033673,-0.093937,27.092323,-0.700607,-25.782303,
17.7,7.379642,-4.062207,-6.83135,0.047674,-0.010432,0.015359,24.837795,0.930683,-26.91037,
17.8,5.824103,-4.008635,-7.127344,0.016984,0.017006,0.008261,20.145027,1.788372,-30.098373,
17.9,4.976675,-4.395013,-8.598933,-0.025827,-0.012664,0.015134,12.162315,0.913864,-33.400803,
18.0,-1.866796,-2.054149,-2.694621,0.012275,-0.022473,0.008216,5.599121,1.637012,-33.776802,
18.1,2.339967,-2.866111,-10.106735,0.295693,0.142584,-0.105553,4.213005,3.201035,-34.08741,
18.2,-0.411668,-3.158663,-8.337357,0.792593,0.241481,-0.216385,4.630508,2.780598,-33.613297,
18.3,0.551584,-3.846123,-9.086469,0.977046,0.222019,-0.387974,4.931114,2.208809,-34.103767,
18.4,0.572384,-3.551177,-8.958076,1.704081,0.161588,-0.52165,5.56572,1.603382,-34.07106,
18.5,0.228505,-3.533369,-8.752167,1.007609,0.241143,-0.507305,5.415421,1.45203,-33.498848,
18.6,0.755398,-3.44493,-8.620182,1.551181,-0.266512,-0.463894,6.250435,1.31749,-34.283585,
18.7,1.448244,-3.547286,-8.568555,-0.187313,0.06411,-0.160942,6.584435,0.981136,-34.022003,
18.8,1.461413,-4.071635,-8.232607,-0.163279,-0.088389,-0.04506,8.354652,-0.599705,-33.760422,
18.9,2.763606,-2.261554,-6.343514,-0.143374,0.015395,-0.005107,11.477592,-2.029186,-33.286301,
19.0,5.213411,-4.098571,-7.944993,-0.019494,0.047834,-0.03281,16.921864,-2.466434,-31.880302,
19.1,5.792978,-3.473213,-4.189703,-0.097071,-0.007904,0.030145,21.881832,-2.61779,-29.215462,
19.2,6.946575,-4.726772,-5.150561,-0.153437,-0.34825,0.071867,27.426308,-2.281445,-25.651459,
19.3,8.144766,-4.126853,-5.502222,-0.34902,-0.274629,0.111144,29.797745,-1.978729,-23.329964,
19.4,7.159667,-3.983196,-4.816857,-1.007856,-0.094264,0.228725,29.831142,-2.752331,-23.39537,
19.5,7.108938,-4.160672,-4.718841,-1.949209,0.080171,0.416876,29.864548,-2.415985,-23.526154,
19.6,7.061351,-4.628007,-5.091452,-2.475928,0.377002,0.734012,30.18185,-2.331898,-23.607903,
19.7,6.565135,-4.751164,-5.660993,-0.795965,0.293474,0.289385,29.630745,-2.180546,-24.180122,
19.8,6.937597,-4.103359,-5.749731,-0.107027,-0.086997,0.081576,29.029537,-2.247814,-24.343613,
19.9,6.518147,-3.851959,-6.503333,0.330703,0.141132,-0.055096,29.02953,-2.180546,-24.245514,
20.0,5.651416,-4.399652,-7.077363,-0.051428,0.043985,-0.023542,29.330139,-2.079636,-24.180122,
20.1,5.623582,-4.596433,-8.871881,-0.043849,-0.032934,-0.009526,28.929333,-1.743286,-25.324516,
20.2,3.798237,-4.674546,-9.920729,0.061593,-0.018088,-0.023247,24.787674,-1.070587,-28.267281,
20.3,-0.576125,-2.214267,-7.601712,0.232104,-0.020605,-0.041468,16.070145,-1.406937,-32.223648,
20.4,1.179785,-3.742271,-9.338318,0.443419,0.061431,-0.134442,7.770126,-0.044724,-34.234528,
20.5,0.981957,-3.613728,-9.456087,0.75195,0.12425,-0.258753,6.500908,1.132492,-33.613274,
20.6,0.290607,-3.452113,-8.857815,1.905377,-0.294864,-0.4605,7.419411,1.552933,-34.348969,
20.7,0.169246,-3.122599,-8.388086,1.118997,0.264854,-0.391023,8.170921,0.560703,-34.071037,
20.8,1.318953,-3.763071,-9.634312,1.838822,-0.108858,-0.392642,8.221024,0.543892,-33.760422,
20.9,1.656248,-3.576017,-8.975734,0.203135,0.179308,-0.176064,8.471527,0.493439,-34.267227,
21.0,0.634785,-2.784706,-7.173135,-0.077326,-0.084433,-0.064703,9.824242,-0.868774,-33.989311,
21.1,1.044059,-1.555987,-5.31442,-0.095523,0.071653,-0.037706,12.696678,-2.483246,-34.054695,
21.2,4.359249,-3.640813,-7.141859,-0.122503,-0.136374,-0.055512,17.138943,-4.097725,-31.896675,
21.3,13.619005,-7.864036,-4.448586,-0.166264,-0.275305,-0.024135,23.351429,-3.559566,-28.725044,
21.4,7.855656,-3.083243,-5.932146,-0.217186,-0.191932,0.002707,29.313423,-3.475475,-23.967583,
21.5,7.001195,-3.774145,-5.641988,-0.189244,-0.266366,0.060112,29.463722,-4.030453,-23.199203,
21.6,7.420195,-3.794646,-4.327674,-1.534961,0.071714,0.175733,29.563923,-4.467705,-23.460785,
21.7,7.148294,-4.77361,-5.750479,-2.312613,0.403702,0.453495,30.014832,-4.585419,-23.869499,
21.8,7.437105,-4.049338,-4.821645,-1.815163,-1.344662,0.096509,30.115032,-5.258118,-23.150139,
21.9,6.966478,-4.158129,-5.666529,-0.406657,-0.154062,0.410831,29.98143,-5.291748,-23.804085,
22.0,7.129888,-3.663259,-5.898775,-0.072183,0.059236,-0.037644,29.480423,-3.946354,-24.131058,
22.1,7.17104,-4.098421,-6.645943,0.218874,0.091893,-0.000437,28.962715,-3.223206,-24.834061,
22.2,5.513894,-3.818888,-6.515604,-0.316173,-0.012904,0.011912,27.994106,-1.676006,-25.78228,
22.3,5.703491,-3.873358,-7.788616,-0.246082,-0.044969,0.002732,26.023468,-1.30603,-27.05748,
22.4,4.052481,-4.425391,-8.237545,-0.290788,-0.125691,-0.019714,22.650013,-0.700596,-29.346283,
22.5,0.596776,-3.722668,-7.033368,-0.134291,-0.040815,-0.027371,16.82164,-0.07835,-32.174591,
22.6,2.322758,-4.686967,-8.806338,0.101692,-0.015324,0.007322,8.42141,0.779343,-33.596931,
22.7,0.779191,-3.0804,-8.284084,0.040215,0.046801,-0.001014,3.962448,3.587849,-33.809464,
22.8,1.025503,-3.802427,-8.532192,-0.085735,0.019099,-0.011955,2.810127,3.671936,-33.891205,
