Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.250000,,,0.001983,,,,,,,,,0.012334,,,,,,,,,0.000418,,,,,,,,,-0.101255,,,,,,,,,0.044435,,,,,,,,,-0.037632,,,,,,,,,0.000000,,,,,,,,,-0.001986,,,,,,,,,-0.008571,,,,,,,
0.281250,,,-0.001451,,,,,,,,,-0.011293,,,,,,,,,0.034205,,,,,,,,,-0.117373,,,,,,,,,0.045441,,,,,,,,,-0.053162,,,,,,,,,0.000000,,,,,,,,,0.014031,,,,,,,,,0.001995,,,,,,,
0.312500,,,-0.003391,,,,,,,,,-0.037559,,,,,,,,,0.050086,,,,,,,,,-0.122548,,,,,,,,,0.046949,,,,,,,,,-0.044071,,,,,,,,,0.000000,,,,,,,,,0.034078,,,,,,,,,0.013781,,,,,,,
0.343750,,,-0.004350,,,,,,,,,-0.060995,,,,,,,,,0.039830,,,,,,,,,-0.116781,,,,,,,,,0.043681,,,,,,,,,-0.037632,,,,,,,,,0.000000,,,,,,,,,0.052109,,,,,,,,,0.025561,,,,,,,
0.375000,,,-0.007043,,,,,,,,,-0.083250,,,,,,,,,0.017157,,,,,,,,,-0.106430,,,,,,,,,0.051976,,,,,,,,,-0.033844,,,,,,,,,0.000000,,,,,,,,,0.068095,,,,,,,,,0.038598,,,,,,,
0.406250,,,-0.012675,,,,,,,,,-0.102526,,,,,,,,,-0.006834,,,,,,,,,-0.091791,,,,,,,,,0.048709,,,,,,,,,-0.026647,,,,,,,,,0.000000,,,,,,,,,0.080774,,,,,,,,,0.051860,,,,,,,
0.437500,,,-0.016121,,,,,,,,,-0.117476,,,,,,,,,-0.020025,,,,,,,,,-0.071385,,,,,,,,,0.031363,,,,,,,,,-0.018693,,,,,,,,,0.000000,,,,,,,,,0.088018,,,,,,,,,0.064307,,,,,,,
0.468750,,,-0.018266,,,,,,,,,-0.128086,,,,,,,,,-0.020447,,,,,,,,,-0.045803,,,,,,,,,0.025581,,,,,,,,,-0.012632,,,,,,,,,0.000000,,,,,,,,,0.094069,,,,,,,,,0.072823,,,,,,,
0.500000,,,-0.021643,,,,,,,,,-0.133451,,,,,,,,,-0.031652,,,,,,,,,-0.012976,,,,,,,,,0.020051,,,,,,,,,0.004413,,,,,,,,,0.000000,,,,,,,,,0.096987,,,,,,,,,0.077890,,,,,,,
0.531250,,,-0.023071,,,,,,,,,-0.132516,,,,,,,,,-0.040858,,,,,,,,,0.018521,,,,,,,,,-0.001065,,,,,,,,,0.020701,,,,,,,,,0.000000,,,,,,,,,0.097039,,,,,,,,,0.079166,,,,,,,
