Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.200000,,,,,-0.098345,,,,,,0.606966,,,,,,0.994004,,,,,,-1.168192,,,,,,1.460748,,,,,,-0.663753,,,,,,0.000000,,,,,,-0.262818,,,,,,-0.229890,,
0.300000,,,,,-0.302787,,,,,,0.416714,,,,,,1.262178,,,,,,-1.254193,,,,,,1.498652,,,,,,-1.030921,,,,,,0.000000,,,,,,-0.177044,,,,,,-0.070491,,
0.400000,,,,,-0.536326,,,,,,0.186569,,,,,,1.589510,,,,,,-1.184118,,,,,,1.590706,,,,,,-1.071717,,,,,,0.000000,,,,,,-0.143669,,,,,,0.125804,,
0.500000,,,,,-0.704178,,,,,,-0.102760,,,,,,1.521815,,,,,,-1.184118,,,,,,1.671930,,,,,,-0.998283,,,,,,0.000000,,,,,,0.014628,,,,,,0.277293,,
0.600000,,,,,-0.903071,,,,,,-0.343262,,,,,,1.524075,,,,,,-1.142710,,,,,,1.552802,,,,,,-0.900372,,,,,,0.000000,,,,,,0.129194,,,,,,0.438173,,
0.700000,,,,,-1.128506,,,,,,-0.558462,,,,,,1.751777,,,,,,-0.986633,,,,,,1.238736,,,,,,-0.655594,,,,,,0.000000,,,,,,0.230626,,,,,,0.605364,,
0.800000,,,,,-1.233469,,,,,,-0.701883,,,,,,2.292861,,,,,,-0.620331,,,,,,0.588945,,,,,,-0.280267,,,,,,0.000000,,,,,,0.299917,,,,,,0.735359,,
0.900000,,,,,-1.271527,,,,,,-0.747424,,,,,,2.634694,,,,,,-0.107508,,,,,,0.264050,,,,,,0.095060,,,,,,0.000000,,,,,,0.330645,,,,,,0.798769,,
1.000000,,,,,-1.329766,,,,,,-0.736167,,,,,,2.483675,,,,,,0.449909,,,,,,-0.326177,,,,,,0.413272,,,,,,0.000000,,,,,,0.352601,,,,,,0.838469,,
1.100000,,,,,-1.373718,,,,,,-0.631048,,,,,,2.087093,,,,,,1.013695,,,,,,-1.057192,,,,,,0.902829,,,,,,0.000000,,,,,,0.276307,,,,,,0.802421,,
