Time,Column,Value,Is Positive Peak
40332.800000,gyrx,0.005062,1
40332.800000,gyrz,0.007734,1
40332.900000,gyrx,0.004734,0
40332.900000,magr,-0.008399,1
40333.000000,magr,-0.011434,0
40333.100000,acly,-0.027435,0
40333.200000,gyrz,0.004644,0
40333.300000,gyrx,0.006429,1
40333.400000,gyrx,0.005946,0
40333.400000,magtheta,-0.013407,0
40333.500000,aclx,0.026525,1
40333.500000,aclz,-0.020674,0
40333.500000,gyrx,0.007170,1
40333.500000,magr,-0.009061,1
40333.500000,magphi,0.050636,1
40333.500000,magtheta,-0.013234,1
40333.600000,magtheta,-0.013890,0
40333.700000,gyry,0.007880,1
40333.700000,magr,-0.018351,0
40333.800000,gyry,0.007724,0
40333.900000,gyrx,0.005543,0
40334.000000,aclz,-0.018372,1
40334.100000,aclz,-0.018616,0
40334.100000,gyrx,0.009678,1
40334.100000,gyry,0.020452,1
40334.100000,gyrz,0.017476,1
40334.200000,gyrz,0.016638,0
40334.500000,acly,-0.000904,1
40334.700000,gyrx,-0.007206,0
40334.700000,gyry,0.001543,0
40334.700000,gyrz,0.021844,1
40334.800000,aclz,-0.004177,1
40334.800000,magr,0.001506,1
40334.900000,acly,-0.005077,0
40334.900000,aclz,-0.004257,0
40334.900000,gyry,0.002741,1
40334.900000,magtheta,0.005023,1
40335.000000,acly,-0.004546,1
40335.000000,gyrx,-0.001909,1
40335.100000,acly,-0.005200,0
40335.100000,gyrx,-0.002950,0
40335.100000,gyry,0.001474,0
40335.200000,gyrz,0.015687,0
40335.300000,gyrx,-0.001508,1
40335.300000,gyry,0.002421,1
40335.400000,gyrx,-0.001631,0
40335.400000,gyrz,0.017826,1
40335.500000,gyry,0.001235,0
40335.500000,magtheta,0.000771,0
40335.600000,gyrx,-0.001493,1
40335.600000,gyry,0.001381,1
40335.600000,gyrz,0.017390,0
40335.600000,magr,-0.005795,0
40335.700000,gyry,0.001069,0
40335.700000,gyrz,0.018055,1
40335.800000,magtheta,0.002016,1
40335.900000,gyry,0.001371,1
40336.100000,gyrx,-0.001893,0
40336.100000,gyry,0.000959,0
40336.200000,aclz,0.010779,1
40336.200000,gyrx,-0.001530,1
40336.200000,magtheta,0.001441,0
40336.300000,aclx,-0.010226,0
40336.300000,acly,0.000417,1
40336.300000,gyrz,0.015613,0
40336.300000,magphi,-0.003895,0
